title,bookID,author,rating,ratingsCount,reviewsCount
A Break with Charity: A Story about the Salem Witch Trials,18549,Ann Rinaldi,3.8,4857,417
Rosencrantz and Guildenstern Are Dead,18545,Tom Stoppard,4.06,70294,1580
King Lear,18546,William Shakespeare,3.9,148813,3168
A Break With Charity:  A Story About The Salem Witch Trials,18550,Ann Rinaldi,3.8,4857,417
King Lear,18548,William Shakespeare,3.9,148813,3168
Fearless on Everest: The Quest for Sandy Irvine,18569,Julie Summers,3.98,56,6
Ghosts of Everest: The Search for Mallory & Irvine,18566,Jochen Hemmleb,4.04,1190,71
Critical Listening Skills for Audio Professionals,18572,F. Alton Everest,3.81,31,1
Detectives on Everest: The 2001 Mallory & Irvine Research Expedition,18567,Jochen Hemmleb,3.87,39,4
Everest: Expedition to the Ultimate,18574,Reinhold Messner,3.9,253,9
Left for Dead: My Journey Home from Everest,18571,Beck Weathers,3.62,4170,324
The Lost Explorer: Finding Mallory on Mt. Everest,18573,Conrad Anker,3.93,621,52
Life and Death on Mt. Everest: Sherpas and Himalayan Mountaineering,18570,Sherry B. Ortner,3.66,109,9
A Break With Charity: A Story of the Salem Witch Trials,18551,Ann Rinaldi,3.8,4857,417
Ghosts of Everest: The Search for Mallory & Irvine,18568,Jochen Hemmleb,4.04,1190,71
Summer Of My German Soldier (Bette Greene)Waiting For The Rain (Sheila Gordon): Curriculum Unit,18583,Victoria Palisin,3.82,11,1
Everything on a Waffle (Coal Harbour #1),18576,Polly Horvath,3.7,9197,770
Sound Studio Construction on a Budget,18575,F. Alton Everest,3.69,13,0
Summer Of My German Soldiera Unit Plan Based On The Book By Bette Greene,18582,Mary B. Collins,4,7,2
EVERYTHING ON A WAFFLE,18578,Polly Horvath,3.7,9197,770
Summer of my German Soldier,18579,Bette Greene,3.66,14310,912
Everything On A Waffle,18577,Polly Horvath,3.7,9197,770
Summer of my German Soldier,18581,Bette Greene,3.66,14310,912
Summer of my German Soldier,18584,Bette Greene,3.66,14310,912
Meeting God at Every Turn,18683,Catherine Marshall,4.36,196,11
Meeting God,18682,Judson Cornwall,0,0,0
Meeting God in Waiting,18684,Juanita Ryan,5,1,0
